subtree_size,bin_start,bin_end,Rt,Rt_q25,Rt_q75
21-50,2020-01-30,2020-02-13,3.2703,2.1058,4.1066
21-50,2020-02-13,2020-02-27,2.5888,1.7675,3.0487
21-50,2020-02-27,2020-03-12,2.3221,1.7324,2.8905
21-50,2020-03-12,2020-03-26,2.1039,1.5729,2.5759
21-50,2020-03-26,2020-04-09,1.4472,0.7200,2.0084
21-50,2020-04-09,2020-04-23,0.8423,0.6284,1.0087
21-50,2020-04-23,2020-05-07,0.9292,0.6194,1.0670
21-50,2020-05-07,2020-05-21,0.8901,0.6064,1.0577
21-50,2020-05-21,2020-06-04,0.8155,0.6284,1.0450
21-50,2020-06-04,2020-06-18,0.6680,0.6680,0.6680
51-100,2020-01-30,2020-02-13,1.5800,0.8971,1.6479
51-100,2020-02-13,2020-02-27,2.1083,1.2987,2.6256
51-100,2020-02-27,2020-03-12,1.7626,0.9831,2.1627
51-100,2020-03-12,2020-03-26,1.9295,1.1965,2.4186
51-100,2020-03-26,2020-04-09,1.2430,0.7530,1.6500
51-100,2020-04-09,2020-04-23,0.8247,0.5973,1.0060
51-100,2020-04-23,2020-05-07,0.7975,0.5859,1.0161
51-100,2020-05-07,2020-05-21,0.7637,0.5542,1.0151
51-100,2020-05-21,2020-06-04,0.7386,0.5477,0.9988
51-100,2020-06-04,2020-06-18,0.6722,0.5302,0.7211
101-200,2020-01-02,2020-01-16,1.5320,1.5320,1.5320
101-200,2020-01-16,2020-01-30,1.5320,1.5320,1.5320
101-200,2020-01-30,2020-02-13,2.0386,1.5245,2.4315
101-200,2020-02-13,2020-02-27,1.9343,1.4842,2.1028
101-200,2020-02-27,2020-03-12,2.1505,1.4766,2.9184
101-200,2020-03-12,2020-03-26,1.8133,1.1803,2.3394
101-200,2020-03-26,2020-04-09,1.1925,0.8573,1.3499
101-200,2020-04-09,2020-04-23,0.9123,0.8060,0.9453
101-200,2020-04-23,2020-05-07,0.8911,0.7964,0.9186
101-200,2020-05-07,2020-05-21,0.8610,0.7939,0.9025
101-200,2020-05-21,2020-06-04,0.8560,0.7904,0.9006
101-200,2020-06-04,2020-06-18,0.8497,0.7937,0.8958
201-400,2020-01-02,2020-01-16,1.2613,1.2613,1.2613
201-400,2020-01-16,2020-01-30,1.2613,1.2613,1.2613
201-400,2020-01-30,2020-02-13,1.9835,1.2613,2.1269
201-400,2020-02-13,2020-02-27,1.7772,1.4029,1.8606
201-400,2020-02-27,2020-03-12,1.7444,1.3973,1.8710
201-400,2020-03-12,2020-03-26,1.5290,1.1841,1.7386
201-400,2020-03-26,2020-04-09,1.0833,0.7279,1.3002
201-400,2020-04-09,2020-04-23,0.7757,0.6679,0.8381
201-400,2020-04-23,2020-05-07,0.7231,0.6582,0.7865
201-400,2020-05-07,2020-05-21,0.7221,0.6603,0.7764
201-400,2020-05-21,2020-06-04,0.7295,0.6681,0.7767
201-400,2020-06-04,2020-06-18,0.7750,0.6965,0.8133
