subtree_size,bin_start,bin_end,Rt,Rt_q25,Rt_q75
21-50,2020-06-05,2020-06-19,2.0520,1.9072,2.0520
21-50,2020-06-19,2020-07-03,2.0520,1.9072,2.0520
21-50,2020-07-03,2020-07-17,2.3097,1.9924,2.3123
21-50,2020-07-17,2020-07-31,2.3199,2.0001,2.3159
21-50,2020-07-31,2020-08-14,2.3476,1.9072,2.6609
21-50,2020-08-14,2020-08-28,2.3435,1.9072,2.6609
21-50,2020-08-28,2020-09-11,2.3483,1.9072,2.6609
21-50,2020-09-11,2020-09-25,2.3446,1.9072,2.6609
21-50,2020-09-25,2020-10-09,2.3202,1.9072,2.6609
21-50,2020-10-09,2020-10-23,2.3118,1.9072,2.6609
21-50,2020-10-23,2020-11-06,2.3049,1.9072,2.6609
21-50,2020-11-06,2020-11-20,2.3169,1.9072,2.6609
21-50,2020-11-20,2020-12-04,2.3248,1.9072,2.6609
21-50,2020-12-04,2020-12-18,2.3296,1.9072,2.6609
21-50,2020-12-18,2021-01-01,2.2086,1.8983,2.6719
21-50,2021-01-01,2021-01-15,1.6078,0.4640,2.3660
21-50,2021-01-15,2021-01-29,1.1518,0.4494,2.2771
21-50,2021-01-29,2021-02-12,0.9890,0.4494,0.9213
21-50,2021-02-12,2021-02-26,0.6711,0.4500,0.5886
21-50,2021-02-26,2021-03-12,0.6330,0.4548,0.8093
21-50,2021-03-12,2021-03-26,0.6484,0.4551,0.8296
21-50,2021-03-26,2021-04-09,0.6408,0.4473,0.8925
21-50,2021-04-09,2021-04-23,0.6474,0.4473,0.6503
21-50,2021-04-23,2021-05-07,0.6518,0.4542,0.6503
21-50,2021-05-07,2021-05-21,0.4929,0.4443,0.5144
21-50,2021-05-21,2021-06-04,0.4878,0.4419,0.5108
21-50,2021-06-04,2021-06-18,0.4944,0.4332,0.5141
21-50,2021-06-18,2021-07-02,0.4764,0.4332,0.4764
21-50,2021-07-02,2021-07-16,0.4332,0.4332,0.4332
21-50,2021-07-16,2021-07-30,0.4332,0.4332,0.4332
21-50,2021-07-30,2021-08-13,0.4332,0.4332,0.4332
51-100,2020-06-05,2020-06-19,1.8990,1.6704,1.8990
51-100,2020-06-19,2020-07-03,1.8990,1.6704,1.8990
51-100,2020-07-03,2020-07-17,2.1300,1.6704,2.3083
51-100,2020-07-17,2020-07-31,2.1362,1.6784,2.3085
51-100,2020-07-31,2020-08-14,2.1484,1.6704,2.3276
51-100,2020-08-14,2020-08-28,2.1323,1.6704,2.3833
51-100,2020-08-28,2020-09-11,2.1201,1.6704,2.3891
51-100,2020-09-11,2020-09-25,2.1204,1.6704,2.3692
51-100,2020-09-25,2020-10-09,2.1249,1.6704,2.3701
51-100,2020-10-09,2020-10-23,2.1313,1.6704,2.3819
51-100,2020-10-23,2020-11-06,2.1405,1.7250,2.3887
51-100,2020-11-06,2020-11-20,2.1560,1.7726,2.3887
51-100,2020-11-20,2020-12-04,2.1594,1.7857,2.3887
51-100,2020-12-04,2020-12-18,2.1594,1.7857,2.3887
51-100,2020-12-18,2021-01-01,2.1594,1.7857,2.3887
51-100,2021-01-01,2021-01-15,1.9818,1.7156,2.3555
51-100,2021-01-15,2021-01-29,1.3097,0.6712,2.1596
51-100,2021-01-29,2021-02-12,1.1100,0.6226,2.1521
51-100,2021-02-12,2021-02-26,0.9291,0.6226,0.8200
51-100,2021-02-26,2021-03-12,0.7956,0.6158,0.8080
51-100,2021-03-12,2021-03-26,0.6780,0.6067,0.7960
51-100,2021-03-26,2021-04-09,0.6883,0.6191,0.8021
51-100,2021-04-09,2021-04-23,0.6863,0.6178,0.8022
51-100,2021-04-23,2021-05-07,0.6806,0.6143,0.7732
51-100,2021-05-07,2021-05-21,0.6806,0.6143,0.7732
